"Timestamp","1. Mobile apps should allow users to exercise control and autonomy over decisions about how their information is collected, used, and shared.","2. Consumer control of personal information is important to mobile app privacy. ","3. I don’t believe that mobile app privacy is compromised when the user loses control over their information as a result of an app usage.","1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.","2. A good mobile app privacy policy should have a clear and conspicuous disclosure.","3. It is not very important to me that I am aware and knowledgeable about how my personal information will be used.","1. It usually bothers me when smartphone apps ask me for personal information.","2. When mobile apps ask me for personal information, I sometimes think twice before providing it.","3. It bothers me to give personal information to so many mobile apps.","4. I’m not concerned that smartphone apps are collecting too much personal information about me.","1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.","2. When people give personal information to a mobile app  for some reason, the app developer should never use the information for any other reason.","3. Mobile app developers should be allowed to sell the personal information in their computer databases to other companies.","4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.","Your MTurk worker ID."
"2019/11/24 8:06:11 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A314XJY8V1YL12"
"2019/11/24 8:07:59 PM EST","Strongly agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","AVCXJ9M71WDCB"
"2019/11/24 8:09:01 PM EST","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3169N2SCN3ENK"
"2019/11/24 8:09:05 PM EST","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Agree","Agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Agree","Somewhat disagree","AETIZKQNUSBLB"
"2019/11/24 8:09:11 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1P6OXEJ86HQRM"
"2019/11/24 8:09:57 PM EST","Agree","Agree","Disagree","Agree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Disagree","Agree","Agree","Agree","Somewhat agree","A1JV64BL3WCK0G"
"2019/11/24 8:10:35 PM EST","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Disagree","A16X5FB3HAFCKN"
"2019/11/24 8:11:07 PM EST","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","A2PTDDFGATZ2ZS"
"2019/11/24 8:11:33 PM EST","Agree","Strongly agree","Somewhat disagree","Agree","Agree","Strongly disagree","Agree","Strongly agree","Somewhat agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","AHEJHFN0VV6E3"
"2019/11/24 8:12:14 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1R5W4RQZTROD8"
"2019/11/24 8:12:42 PM EST","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","AJVGW8ZY3SWE4"
"2019/11/24 8:15:01 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1RWNYJA5X25YH"
